505245,42021.225,121150542.79890291
501217.5,40054.924999999996,569813753.5271175
537227.5,48434.30000000001,26383788.210738525
506274.1666666667,41434.691666666666,234114025.75105104
622870,63125.333333333336,24203939.999999996
628292.5,64027.65,17164365.5591467
499564.1666666667,39080.725,681885310.6385504
624690,63423.99166666667,21560176.200324167
623602.5,63543.44166666667,24159752.192540698
501856.6666666667,40312.125,541742494.685361
498506.6666666667,38898.31666666667,719158199.9999999
630649.1666666666,64464.46666666667,13738969.756604852
499704.1666666667,39583.775,625034804.4943016
631539.1666666666,64617.78333333333,12718411.742007997
629230.8333333334,64203.583333333336,15834053.134073978
502290,40537.40833333333,319489043.3768637
504780,41852.78333333333,137772408.0877124
503073.3333333333,41001.00833333334,247470185.54158047
502680.8333333333,40766.666666666664,279590802.2123619
626554.1666666666,63742.11666666667,19350507.903887615
631278.3333333334,64638.10833333334,13265182.86046435
631043.3333333334,64576.65833333333,13503808.881460648
630893.3333333334,64513.450000000004,13612980.046343772
626662.5,63750.025,19144658.00061893
626670.8333333334,63752.34166666667,19126222.446351323
626670.8333333334,63752.35,19125421.069594286
504920,39973.25,525165968.7932079
501390,39435.625,617275673.8397456
626629.1666666666,63734.68333333333,19167465.631145652
509882.5,43161.299999999996,57439471.863897055
509724.1666666667,43067.691666666666,65383111.48811178
509485.8333333333,43004.700000000004,70618667.45950423
510190,43294.566666666666,47332595.08025966
642590,66719.41666666667,273928.9943856603
784090,137628,26512.471914998325
502422.5,39557.35833333333,594419545.8384595
504528.3333333333,39929.25,537455667.6438057
632462.5,64875.60833333334,11789064.904091883
626670.8333333334,63752.44166666667,19106426.852451537
503198.3333333333,39688.43333333333,571517078.762403
506340.8333333333,41406.35,238895551.88701195
503331.6666666667,39854.48333333334,555439352.4704851
503600,40231.61666666666,522348158.3804845
504005.8333333333,40185.98333333334,522335534.7429057
503266.6666666667,39972.075000000004,544890291.1292294
502593.3333333333,39586.6,589551133.6984437
504237.5,40464.24166666667,498910190.2469609
501740,39454.48333333333,612442437.0131563
507113.3333333333,41688.45,202134075.05757856
506729.1666666667,41548.558333333334,222100128.51368007
506790,41527,228145724.9244653
623930,63292.71666666667,22832225.214485504
507101.6666666667,41669.49166666666,204176453.15731135
506316.6666666667,41371.933333333334,242256389.56163117
637700,65825.5,5327647.508182416
637900.8333333334,65839.83333333333,5217295.156071936
638053.3333333334,65877.33333333333,5035816.151611181
510030.8333333333,43221.875,52636910.45090346
510562.5,43422.68333333333,40181232.904630534
625751.6666666666,63585.416666666664,20382668.833276995
625751.6666666666,63585.225,20435226.596453056
