0.200532725	0.576757356	0.259118928	0.7882
0	0.003816324	0	0
0.031582953	0.004924289	0.011140644	0
0.00304414	0.004062538	0	0
0.03348554	0.005293611	0.063790081	0
0	0.004924289	0	0
0.03348554	0.004062538	0.032686761	0
0.004	0.006	0.03	0.005
0.006	0.004	0.01	0
0.027	0.004	0.05	0
0.027777778	0.036685953	0.24175762	0.0449
0.157914764	0.023390373	0.000169654	0.0553
0.255707763	0.081743198	0.097890629	0.0311
0.027777778	0.004308753	0.000622066	0
0.002663623	0.004801182	0.01176271	0
0.0304414	0.004554967	0.011310298	0
0.00456621	0.004554967	0.011423401	0
0.022450533	0.026714268	0.001244133	0.0165
0.01369863	0.165209898	0.119436747	0.0568
0.023592085	0.004062538	0.027484024	0.0013
0.003805175	0.004	0.001244133	0
0.027016743	0.004801182	0.001074478	0
0.003805175	0.004801182	0.000508963	0.0014
0.027777778	0.003939431	0.000622066	0
0.003805175	0.004185646	0.010970989	0
0.027777778	0.004185646	0.000452412	0
